111569922;L;21015157
94988521;L;21015165
117774289;R;21015144
872979566;L;21015161
121696626;L;21015150
117794432;R;21015138
94988551;L;21015165
116330432;L;21015157
979021147;L;21015161
97563371;L;21015157
94988509;L;21015150
116330392;R;21015157
117794411;R;21015138
121696624;L;21015150
122440861;L;21015157
1152638632;R;21015154
115042735;L;21015167
914123586;R;21015138
121696724;L;21015167
996371521;R;21015161
1150545099;L;21015157
97563450;R;21015154
1125226437;L;21015157
99482410;R;21015138
97563413;L;21015157
97893762;L;21015157
41119658;L;21015167
115042723;L;21015163
121696725;L;21015167
99843508;L;21015180
121663748;L;21015161
999860787;L;21015165
121696693;L;21015157
913820684;R;21015138
99472901;L;21015138
121696644;L;21015150
1150545103;L;21015157
121696676;L;21015167
117230176;R;21015173
1150546159;L;21015157
116330444;L;21015157
1002483265;R;21015138
117230272;R;21015171
121663736;R;21015161
94988459;L;21015150
117794430;R;21015138
832856121;L;21015161
94988413;L;21015150
117230273;R;21015171
1034027463;R;21015187
877412056;L;21015161
94977177;L;21015165
893906003;R;21015138
1150546176;L;21015157
41439167;L;21015150
112341175;R;21015171
94988456;L;21015150
124093109;R;21015184
867373984;L;21015150
124092325;L;21015171
121696634;L;21015150
893906004;R;21015138
121696641;L;21015150
112213144;L;21015150
1148069069;L;21015163
117230268;L;21015171
102006655;L;21015161
111569901;L;21015157
121696629;L;21015150
94988435;L;21015150
121696625;L;21015150
1002483264;R;21015138
94988514;L;21015150
97893763;L;21015157
124092174;L;21015171
121663746;L;21015161
832856539;L;21015161
124092168;L;21015171
115042726;L;21015157
112213147;L;21015150
101981239;L;21015167
112213143;L;21015150
1150544737;L;21015157
116330406;L;21015157
41119304;L;21015167
124092137;L;21015171
841357881;L;21015161
41064137;L;21015165
97893733;L;21015157
893906001;R;21015138
99511326;R;21015138
122440858;L;21015154
121696707;L;21015150
1150545807;L;21015157
1034030203;L;21015150
121696706;L;21015150
117794412;R;21015138
94988443;L;21015150
97563415;L;21015157
116330409;L;21015157
117774204;R;21015138
1150546164;L;21015157
99701705;R;21015138
1152638630;R;21015154
117230269;R;21015171
877412058;L;21015161
116330328;L;21015154
99702073;R;21015138
1150545104;L;21015157
124094520;R;21015187
1148827742;R;21015184
99825705;L;21015171
121696640;L;21015150
891922251;L;21015157
121696659;L;21015163
121696647;L;21015150
920813117;L;21015150
99825706;L;21015171
41078284;L;21015165
116330443;L;21015157
99702003;R;21015138
121696708;L;21015150
117794428;R;21015138
121696612;L;21015165
124092177;R;21015171
1150545804;L;21015157
112229657;L;21015161
97563410;L;21015157
94988505;L;21015150
94988453;L;21015150
117794426;R;21015138
121696700;L;21035792
94988444;L;21015150
121696658;L;21015163
99825710;L;21015171
868527961;L;21015150
112384443;L;21015171
99825707;L;21015171
1034027461;R;21015187
121696723;L;21015167
1146511285;L;21015157
41472154;L;21035792
99443952;R;21015144
99839278;R;21015173
117794422;R;21015138
99702029;R;21015138
41472151;L;21015150
112213161;L;21015165
913820685;R;21015138
94988454;L;21015150
121669571;R;21015161
87480149;R;21015161
979021146;R;21015161
99701706;R;21015138
112213152;L;21015150
122449557;L;21015157
124089862;R;21015180
867409867;R;21015180
122754600;L;21015161
112213156;L;21015165
1152641151;R;21015157
121696627;L;21015150
116330488;R;21015154
117794429;R;21015138
97893728;L;21015157
94988518;L;21015165
1039816568;R;21015144
1148827741;R;21015184
121696717;L;21015163
41064281;L;21015165
100431031;L;21015171
97563387;L;21015157
100553838;L;21015171
126467317;R;21015171
112213142;L;21015150
121663740;L;21015161
121696609;L;21015157
121664149;R;21015161
112213155;L;21015150
99701707;R;21015138
21275252;L;21015150
1039816567;R;21015144
891922252;L;21015157
1036532450;L;21015165
1034030202;L;21015150
124094548;R;21015187
94988439;L;21015150
112229658;L;21015161
1034027462;R;21015187
1150546168;L;21015157
